title,url,price,avg_review,num_reviews,desc_text,desc_list,prod_category
Heart of Crown - Path Before Heaven New Condition!,https://www.walmart.com/ip/Heart-of-Crown-Path-Before-Heaven-New-Condition/710137974,15.96,,0,Add to your Heart of Crown collection with this new expansion! Requires a base game to play (original Heart of Crown or Fairy Garden).Heart of Crown - Path Before Heaven New Condition!,,Toys
Teddy Ruxpin Hug 'N Sing Lullaby,https://www.walmart.com/ip/Teddy-Ruxpin-Hug-N-Sing-Lullaby/458695774,28.35,5.0,2,"Hug ?N Sing Lullaby Teddy Ruxpin ?So Close Your Eyes? Give your Teddy Ruxpin a hug and sing along to one of his favorite lullabies. Snuggle up with your Hug ?N Sing Lullaby Teddy Ruxpin and listen to all three soothing song clips from, ?So Close Your Eyes? from Teddy Ruxpin Lullabies. The iconic Teddy Ruxpin is the perfect toy to unwind with after a long day of play. This soft and cuddly Teddy Ruxpin loves to sing along with friends ages 2+, making him the perfect nighttime buddy. Two AAA batteries included from Wicked Cool Toys.",,Baby
Hasbro GamingClassic Simon Game,https://www.walmart.com/ip/Hasbro-GamingClassic-Simon-Game/760908292,31.93,,0,Super Simon Says by MB Games Box has storage wear but game in very good condition,"Classic Simon gameplay.,Follow lights and sounds.,Suspense builds as sequences get longer.,Play solo or challenge a friend.,Includes Simon game unit and instructions. For ages 8 and up.",Toys
Simon Game. Electronic Memory Game for Kids Ages 8 and Up,https://www.walmart.com/ip/Simon-Game-Electronic-Memory-Game-for-Kids-Ages-8-and-Up/949816164,19.99,4.7,29,Simon Game; Electronic Memory Game for Kids Ages 8 and Up; Handheld Game With Lights and Sounds; Classic Simon Gameplay,"REPEAT THE PATTERNS: It's the exciting electronic game of lights and sounds! Players repeat random sequences of flashing lights by pressing the colored pads in the correct order,SUSPENSE BUILDS: It starts off at a nice steady pace, but the light sequences get more and more complicated as the game continues,CLASSIC SIMON GAMEPLAY: Watch, remember, and repeat! The electronic handheld Simon game presents an exciting challenge to repeat the patterns and advance to higher levels,PLAY SOLO: Play the Simon game with friends or play solo. Try to hit a new high score by completing the longest sequence possible without messing up,FUN GIFT FOR KIDS: The Simon game can make a fun birthday or holiday gift for boys and girls, ages 8 and up. It's fast-paced, challenging, and so fun play",Toys
"Popples, Deluxe Pop Open Treehouse Playset with Exclusive Pop Up Transforming Figure, by Spin Master",https://www.walmart.com/ip/Popples-Deluxe-Pop-Open-Treehouse-Playset-with-Exclusive-Pop-Up-Transforming-Figure-by-Spin-Master/50672310,40.90,4.0,50,"Get poppin? with the Popples Deluxe Treehouse Playset! It?s the magical playhouse where fun, friendships, and fantastic adventures pop up every day! The Deluxe Treehouse Playset has everything you need to bring the Popples world to life ? including an exclusive Sunny Pop Up figure, elevator, slide, and over 40 stickers to decorate. The treehouse transforms to reveal a fun playset to move the Sunny figure through. Collect all the other Best Popple Pals and playsets to create even larger adventures (each sold separately). Bring home hoppin? poppin? fun with the Popples Deluxe Treehouse Playset.","The Popples Deluxe Treehouse Playset magically transforms from a treehouse to a playset, with an elevator, slide, and 40+ stickers to decorate.,The Sunny Exclusive Pop Up Figure transforms from a rolling ball to a full Popple figure that pops out on impact to play on the seesaw or trampoline.,The Deluxe Treehouse Playset is compatible with and connects to Bubbles Teapot House Playset (sold separately).,Treehouse Playset is for ages 3+. No batteries required.,WARNING: CHOKING HAZARD - Small parts. Not for children under 3 years.",Toys
The Original Big Wheel Wall Clock,https://www.walmart.com/ip/The-Original-Big-Wheel-Wall-Clock/946584293,57.00,,0,The Original Big Wheel Clock is a great way to bring back childhood memories to friends and family. This gift will be sure to add unmatched joy while also allowing you to keep track of time. ,,Shop by Brand
He-Man And The Masters Of The Universe: Origins (Widescreen),https://www.walmart.com/ip/He-Man-And-The-Masters-Of-The-Universe-Origins-Widescreen/11997440,7.48,4.5,2,"New-He-Man and the Masters of the Universe: OriginsThis DVD set features the first 10 episodes of the 2002 television series, a well-received revival of the classic show from the 1980s. Watch as you learn the origin of Prince Adam's transformation into the guardian of Eternia, He-Man. Enjoy the exciting adventures of He-Man and the rest of the Masters Of The Universe, including Man-At-Arms; Teela; Mekanek; Ram Man and Battle Cat, as they battle the forces of evil lead by Skeletor and including the likes of Beast Man, Evil Lyn, Tri-Klops and Trap Jaw. This fresh take on the retro fan favorite should delight and entertain a new generation of fans as well as those who grew up watching the classic series. ",,Movies & TV Shows
Learning Resources Old McGear's Farm Building Set 85 Pieces,https://www.walmart.com/ip/Learning-Resources-Old-McGear-s-Farm-Building-Set-85-Pieces/15382126,51.82,,0,"Challenge children to use their problem solving skills as they create new barnyard-themed structures. Includes 81 durable plastic pieces including dog, cow, pig, sheep, horse, rooster, Ma & Pa Farmer, cornstalks and more). Comes with color-coded instruction.Learning Resources Old McGear's Farm Building Set 85 Pieces",,Toys
"Plus-Plus® Open Play Set, Basic, 300 pieces",https://www.walmart.com/ip/Plus-Plus-Open-Play-Set-Basic-300-pieces/164423109,17.99,,0,"Plus-Plus is a whole new class of construction toy! One simple shape contains endless possibilities and hours of fun. Each piece easily connects to the next and lets your imagination Create colorful flat Mosaics or work in 3-D to make more intricate builds. Even curves are possible thanks to the unique design of this deceptively simple shape! A perfect STEM toy to develop fine motor skills, focus and patience - as well as design, imagination and creativity! All plus-plus sets are compatible with each other and this open play set adds more pieces and colors to the collection for more possibilities and fun. This 300 piece set contains basic colors, including red, blue, green, yellow, orange, purple and more. Also includes an idea guide booklet for building. BPA-free and phthalate-free. Designed and made in Denmark.","Each piece easily connects to the next and lets your imagination create colorful flat mosaics or work in 3-D to make more intricate builds,Plus-Plus empowers children with free explorative play as they encourage fine motor skills, logic, creativity and imagination all without the use of screens,A great STEM toy,This set includes 300 pastel pieces and an idea guide booklet for building,All plus-plus sets are compatible with each other and this open play set adds more pieces and colors to the collection for more possibilities and fun",Toys
"Plus-Plus  BIG - Open Play Building Set - 100 pc Basic Mix– Construction Building STEM | STEAM Toy, Interlocking Large Puzzle Blocks for Toddlers and Preschool",https://www.walmart.com/ip/Plus-Plus-BIG-Open-Play-Building-Set-100-pc-Basic-Mix-Construction-STEM-STEAM-Toy-Interlocking-Large-Puzzle-Blocks-Toddlers-Preschool/130061128,34.99,,0,"Plus-Plus is a new kind of construction toy. Its one simple shape contains endless possibilities - assemble them flat to create a 2-D mosaic or work in 3-D to make more intricate builds. Even curves are possible thanks to the unique design of this deceptively simple shape! Precision crafted in Denmark, all Plus-Plus sets are compatible with each other. This Plus-Plus Big size is perfect for smaller hands or bigger ideas. Well-suited for preschool and early learning environments. This Set brings endless fun to kids who are developing their motor skills and recognizing colors, patterns and sorting —all while mixing play and creativity! A great early learning toy for teaching problem solving, shape building, pattern recognition and the early foundations of building and design. This BIG 100 piece set contains Basic Colors, including Red, Blue, Green, Yellow, Orange, Purple and more.","SIMPLE DESIGN - FUELS CREATIVITY: One shape, endless possibility! Every brick easily connects to the next. Create colorful flat mosaics or work in 3-D to make more intricate builds. Mix and match any Plus-Plus set to bring more ideas to life!,STEM | STEAM Toy: Plus-Plus empowers children with free explorative play as they encourage fine motor skills, logic, creativity and imagination all without the use of screens. Part engineering, part art, with a bit of math and a whole lot of FUN!,PERFECT FOR ON-THE-GO: Design and build your creations any way you want, wherever you want! Great for every adventure – car rides, restaurants, a friend’s house, or in your own living room. Stay entertained for hours!,BUILDING SET INCLUDES: This open play BIG set includes 100 pieces in a Basic Mix and an idea guide booklet.,SUGGESTED FOR AGES: Friendly for ages 18 months and up, these BIG pieces are great for little hands or bigger ideas. Each piece measures 2"" x 1 1/8"". Well-suited for preschool and early learning environments mixing play and creativity!",Toys
